		Height						Weight						FOC					
		Male			Female			Male			Female			Male			Female		
Minimum age (CDC)	Rounded age	L	M	S	L	M	S	L	M	S	L	M	S	L	M	S	L	M	S
25.5	26	0.837251351	88.45247282	0.040577525	1.041951175	87.09026318	0.041142161	-0.23979048	12.88102276	0.108274705	-0.78423359	12.2910249	0.108477009	1	48.4989	0.0283	1	47.4536	0.02949
26.5	27	0.681492975	89.22326434	0.040723122	1.012592236	87.95714182	0.041349399	-0.26631585	13.01842382	0.108421024	-0.81409743	12.44469237	0.109280822	1	48.6151	0.02834	1	47.5817	0.02945
27.5	28	0.538779654	89.97549228	0.040833194	0.970541909	88.7960184	0.041500428	-0.29575496	13.1544966	0.108604769	-0.8419355	12.59622335	0.110144488	1	48.7264	0.02838	1	47.7045	0.02941
28.5	29	0.407697153	90.71040853	0.040909059	0.921129988	89.6055115	0.041610508	-0.32772936	13.28989667	0.108825681	-0.86788939	12.74620911	0.111060814	1	48.8331	0.02842	1	47.8219	0.02937
29.5	30	0.286762453	91.42907762	0.040952433	0.868221392	90.38476689	0.041691761	-0.36181746	13.42519408	0.109083423	-0.89210264	12.89517218	0.112022758	1	48.9351	0.02847	1	47.934	0.02933
30.5	31	0.174489485	92.13242379	0.04096533	0.81454413	91.13341722	0.04175368	-0.39756808	13.56088113	0.109377581	-0.91471881	13.04357164	0.113023466	1	49.0327	0.02851	1	48.041	0.02929
31.5	32	0.069444521	92.82127167	0.040949976	0.761957977	91.8515436	0.041803562	-0.43452025	13.69737858	0.109707646	-0.93587966	13.19180827	0.114056316	1	49.126	0.02855	1	48.1432	0.02926
32.5	33	-0.029720564	93.49637946	0.040908737	0.711660228	92.5396352	0.041846882	-0.47218875	13.83504622	0.110073084	-0.95572344	13.34022934	0.115114952	1	49.2153	0.02859	1	48.2408	0.02922
33.5	34	-0.124251789	94.15846546	0.040844062	0.664323379	93.19854429	0.041887626	-0.51012309	13.97418199	0.110473238	-0.97438101	13.48913357	0.116193337	1	49.3007	0.02863	1	48.3343	0.02919
34.5	35	-0.215288396	94.80822923	0.040758431	0.620285102	93.82945392	0.041928568	-0.54788557	14.1150324	0.1109074	-0.99198075	13.63877446	0.11728575	1	49.3826	0.02867	1	48.4239	0.02915
35.5	36	-0.30385434	95.44636981	0.040654312	0.57955631	94.43382278	0.041971514	-0.5850701	14.25779618	0.111374787	-1.00864074	13.78936547	0.118386847	1	49.4612	0.02871	1	48.5099	0.02912
36.5	37	-0.390918369	95.27359106	0.04053412	0.54198094	94.21335709	0.042017509	-0.621319726	14.40262749	0.111874514	-1.024471278	13.94108332	0.119491669	1	49.5367	0.02875	1	48.5926	0.02909
37.5	38	-0.254801167	95.91474929	0.040572876	0.511429832	94.79643239	0.042104522	-0.656295986	14.54964614	0.112405687	-1.039573604	14.09407175	0.120595658	1	49.6093	0.02878	1	48.6722	0.02906
38.5	39	-0.125654535	96.54734328	0.04061691	0.482799937	95.37391918	0.042199507	-0.689735029	14.69893326	0.112967254	-1.054039479	14.24844498	0.121694676	1	49.6791	0.02882	1	48.7489	0.02903
39.5	40	-0.00316735	97.17191309	0.040666414	0.455521041	95.94692677	0.042300333	-0.721410388	14.85054151	0.11355811	-1.067946784	14.40429169	0.12278503	1	49.7465	0.02886	1	48.8228	0.029
40.5	41	0.11291221	97.78897727	0.040721467	0.429150288	96.51644912	0.042405225	-0.751175223	15.00449143	0.114176956	-1.081374153	14.56167529	0.1238634	1	49.8116	0.02889	1	48.8941	0.02897
41.5	42	0.222754969	98.3990283	0.040782045	0.403351725	97.08337211	0.042512706	-0.778904279	15.16078454	0.114822482	-1.094381409	14.72064045	0.124926943	1	49.8745	0.02893	1	48.9629	0.02894
42.5	43	0.326530126	99.00254338	0.040848042	0.377878239	97.6484807	0.042621565	-0.804515498	15.31940246	0.115493292	-1.107021613	14.88121352	0.125973221	1	49.9354	0.02896	1	49.0294	0.02891
43.5	44	0.42436156	99.599977	0.040919281	0.352555862	98.21246579	0.042730809	-0.828003255	15.48030313	0.116187777	-1.119338692	15.04340553	0.127000212	1	49.9942	0.02899	1	49.0937	0.02888
